CountryName,CO2 emissions (metric tons per capita),Year
Cote d'Ivoire,0.36490808163556104,2007
Cote d'Ivoire,0.35676897204065705,2008
Cote d'Ivoire,0.297496879462333,2009
Cote d'Ivoire,0.292351512964102,2010
Cote d'Ivoire,0.312877702632263,2011
Indonesia,0.243805291731486,1960
Indonesia,0.288719864550265,1961
Indonesia,0.248446979292099,1962
Indonesia,0.2396813492523,1963
Indonesia,0.229361138155731,1964
Indonesia,0.246138797101306,1965
Indonesia,0.22699195764726696,1966
Indonesia,0.231915478089856,1967
Indonesia,0.253505277193909,1968
Indonesia,0.298673301604677,1969
Indonesia,0.311951855422618,1970
Indonesia,0.33062147846651896,1971
Indonesia,0.3580079965794671,1972
Indonesia,0.395470249628913,1973
Indonesia,0.402156668102248,1974
Indonesia,0.41280501888718,1975
Indonesia,0.4612389481302221,1976
Indonesia,0.600297743724059,1977
Indonesia,0.6677801754297751,1978
Indonesia,0.6601457127919039,1979
Indonesia,0.6426495409198449,1980
Indonesia,0.663407119412183,1981
Indonesia,0.6822242083049239,1982
Indonesia,0.664097632396751,1983
Indonesia,0.6944020641217821,1984
Indonesia,0.734768045476881,1985
Indonesia,0.7229172663105771,1986
Indonesia,0.718414527230813,1987
Indonesia,0.755209445500112,1988
Indonesia,0.7348063223967479,1989
Indonesia,0.824341653340586,1990
Indonesia,0.973544533876331,1991
Indonesia,1.07889762756538,1992
Indonesia,1.14526720370997,1993
Indonesia,1.14166010346545,1994
Indonesia,1.14207745317278,1995
Indonesia,1.2669183190042,1996
Indonesia,1.37369341030501,1997
Indonesia,1.02166321424249,1998
Indonesia,1.1598172263493798,1999
Indonesia,1.2452416187793702,2000
Indonesia,1.3751914686421298,2001
Indonesia,1.41113541135681,2002
Indonesia,1.4379523423974498,2003
Indonesia,1.51223839324728,2004
Indonesia,1.5115343436640098,2005
Indonesia,1.5053376679581298,2006
Indonesia,1.61665918557735,2007
Indonesia,1.75214910182672,2008
Indonesia,1.90009103006722,2009
Indonesia,1.80860092013378,2010
Indonesia,2.3037809828095095,2011
Kenya,0.29949688110701,1960
Kenya,0.28725726973888005,1961
Kenya,0.304273984864711,1962
Kenya,0.320661957641222,1963
Kenya,0.307305265844347,1964
Kenya,0.259649487169614,1965
Kenya,0.27327489270812305,1966
Kenya,0.266146233453993,1967
Kenya,0.26850655811849805,1968
Kenya,0.288157853208728,1969
Kenya,0.27406854639685196,1970
Kenya,0.31613481782810804,1971
Kenya,0.32047497489275395,1972
Kenya,0.312855741627367,1973
Kenya,0.38087864486002504,1974
Kenya,0.368977463772151,1975
Kenya,0.329338922750214,1976
Kenya,0.34809168492152004,1977
Kenya,0.353045081827536,1978
Kenya,0.321711564485812,1979
Kenya,0.380948230214755,1980
Kenya,0.38620141397219504,1981
Kenya,0.26730178479477396,1982
Kenya,0.25550531372957397,1983
Kenya,0.228042941731491,1984
Kenya,0.191736484836537,1985
Kenya,0.204084599752355,1986
Kenya,0.244751788334192,1987
Kenya,0.218690402540682,1988
Kenya,0.22906376754999697,1989
Kenya,0.24836386269194896,1990
Kenya,0.19973684174691603,1991
Kenya,0.22137001426382397,1992
Kenya,0.245794458460292,1993
Kenya,0.246413637597198,1994
Kenya,0.27596574512106503,1995
Kenya,0.331798230240709,1996
Kenya,0.286573323262458,1997
Kenya,0.33947945337625607,1998
Kenya,0.335704347412845,1999
Kenya,0.335350781019139,2000
Kenya,0.29404333138333505,2001
Kenya,0.243741461973242,2002
Kenya,0.20132330170365,2003
Kenya,0.22137791230828305,2004
Kenya,0.242225672889561,2005
Kenya,0.263863006174693,2006
Kenya,0.26392173106752304,2007
Kenya,0.26780181548994797,2008
Kenya,0.31450114015823,2009
Kenya,0.30797541667562395,2010
Kenya,0.327569171129451,2011
"Korea, Rep.",0.5018372506344261,1960
"Korea, Rep.",0.5613145831665249,1961
"Korea, Rep.",0.6517136668272171,1962
"Korea, Rep.",0.7741097810055971,1963
"Korea, Rep.",0.793961904513465,1964
"Korea, Rep.",0.8711219991559559,1965
"Korea, Rep.",1.01966409960248,1966
"Korea, Rep.",1.1666350878761598,1967
"Korea, Rep.",1.20765572631074,1968
"Korea, Rep.",1.3480273086715702,1969
"Korea, Rep.",1.66819197907051,1970
"Korea, Rep.",1.78260872341885,1971
"Korea, Rep.",1.8008084426734,1972
"Korea, Rep.",2.14333025375457,1973
"Korea, Rep.",2.18166435135716,1974
"Korea, Rep.",2.31937141314415,1975
"Korea, Rep.",2.60280779210904,1976
"Korea, Rep.",2.9032426443134702,1977
"Korea, Rep.",3.06757214150109,1978
"Korea, Rep.",3.54905609374865,1979
"Korea, Rep.",3.5376505343450404,1980
"Korea, Rep.",3.60873746954284,1981
"Korea, Rep.",3.60840908915223,1982
"Korea, Rep.",3.7810789332295096,1983
"Korea, Rep.",4.05661068878063,1984
"Korea, Rep.",4.3703049256987,1985
"Korea, Rep.",4.42696724878253,1986
"Korea, Rep.",4.62884887663139,1987
"Korea, Rep.",5.28082935536031,1988
"Korea, Rep.",5.5559980416988495,1989
"Korea, Rep.",5.7603742521189405,1990
"Korea, Rep.",6.0394622293241795,1991
"Korea, Rep.",6.49814288491884,1992
"Korea, Rep.",7.2848582185146995,1993
"Korea, Rep.",7.70667723380511,1994
"Korea, Rep.",8.31107138135947,1995
"Korea, Rep.",8.86949002454295,1996
"Korea, Rep.",9.35798161971276,1997
"Korea, Rep.",7.882070870638031,1998
"Korea, Rep.",8.577710247343461,1999
"Korea, Rep.",9.52093176005307,2000
"Korea, Rep.",9.50631335841722,2001
"Korea, Rep.",9.77762888590209,2002
"Korea, Rep.",9.74136560386337,2003
"Korea, Rep.",10.039183574571,2004
"Korea, Rep.",9.61654700082847,2005
"Korea, Rep.",9.72993277963223,2006
"Korea, Rep.",10.1995817411096,2007
"Korea, Rep.",10.3698326562231,2008
"Korea, Rep.",10.346506096392302,2009
"Korea, Rep.",11.4695874748226,2010
"Korea, Rep.",11.840756866690302,2011
Niger,0.0086404030145982,1960
Niger,0.0157443419978498,1961
Niger,0.0183522664239939,1962
Niger,0.0237656552149125,1963
Niger,0.0250122448294289,1964
Niger,0.0233770512454033,1965
Niger,0.0336487930936137,1966
Niger,0.0318543481334808,1967
Niger,0.0378892146491124,1968
Niger,0.0435765774639229,1969
Niger,0.0481067205057195,1970
Niger,0.0499707881320865,1971
Niger,0.0532337734854264,1972
Niger,0.0675255407485733,1973
Niger,0.0576303468010306,1974
Niger,0.0645320302786931,1975
Niger,0.0627147558039862,1976
Niger,0.0669624188717517,1977
Niger,0.0741734229910322,1978
Niger,0.0828438460148202,1979
Niger,0.0959310325282288,1980
Niger,0.111868780549718,1981
Niger,0.11875333665749,1982
Niger,0.148992016185458,1983
Niger,0.149389742502755,1984
Niger,0.145861246503085,1985
Niger,0.12828835234848,1986
Niger,0.13839683294988503,1987
Niger,0.13297316549974303,1988
Niger,0.13575757638961,1989
Niger,0.10520996010558302,1990
Niger,0.10055388565859,1991
Niger,0.0929527748856062,1992
Niger,0.100782135699971,1993
Niger,0.0965524398036616,1994
Niger,0.0983150664095112,1995
Niger,0.104698749604452,1996
Niger,0.10061596825119098,1997
Niger,0.102987283105349,1998
Niger,0.0979318452619126,1999
Niger,0.0708929011949996,2000
Niger,0.0651991855910357,2001
Niger,0.0674126040670285,2002
Niger,0.0702561922609461,2003
Niger,0.0742089958057903,2004
Niger,0.0614545944231985,2005
Niger,0.0576426902018001,2006
Niger,0.056541083677029,2007
Niger,0.0607717666337645,2008
Niger,0.0734701216689891,2009
Niger,0.0830544948775441,2010
Niger,0.0839581777578064,2011
Singapore,0.846367832847425,1960
Singapore,1.22994419642857,1961
Singapore,1.47291795223403,1962
Singapore,1.89376545961003,1963
Singapore,2.01111533449175,1964
Singapore,1.34094546610843,1965
Singapore,0.3488047973531839,1966
Singapore,1.54645934466019,1967
Singapore,2.69375049701789,1968
Singapore,3.5278604651162797,1969
Singapore,8.778174017835621,1970
Singapore,7.85327038667235,1971
Singapore,10.332816855603,1972
Singapore,9.67666621067032,1973
Singapore,9.85245178939815,1974
Singapore,10.8473574648634,1975
Singapore,13.0974565037283,1976
Singapore,12.1744463080033,1977
Singapore,14.090902447314802,1978
Singapore,15.155702538283998,1979
Singapore,13.0218832594557,1980
Singapore,10.600826753000598,1981
Singapore,11.2414022293595,1982
Singapore,13.0535407109022,1983
Singapore,12.2255702364395,1984
Singapore,12.2139513888889,1985
Singapore,12.8145108655886,1986
Singapore,11.748461150353195,1987
Singapore,12.6858796247497,1988
Singapore,14.2919038520591,1989
Singapore,15.4052269370877,1990
Singapore,15.127208382507698,1991
Singapore,15.5592397932337,1992
Singapore,16.4862830843519,1993
Singapore,19.1190236911378,1994
Singapore,13.3664204851752,1995
Singapore,15.0667976135342,1996
Singapore,18.2403303477345,1997
Singapore,14.5888184966388,1998
Singapore,12.6478940056079,1999
Singapore,12.1665850691427,2000
Singapore,11.972249879168698,2001
Singapore,11.3100957854406,2002
Singapore,7.566061533974921,2003
Singapore,6.83376652986776,2004
Singapore,7.116858033663089,2005
Singapore,6.997576452946791,2006
Singapore,3.9654042627380894,2007
Singapore,4.9275738727941505,2008
Singapore,4.77821657711124,2009
Singapore,2.65524691236433,2010
Singapore,4.32015143623281,2011
Sudan,0.12978371368493,1960
Sudan,0.128810195636166,1961
Sudan,0.134379625665967,1962
Sudan,0.147903282863798,1963
Sudan,0.159284213199374,1964
Sudan,0.202254535941352,1965
Sudan,0.214127207373621,1966
Sudan,0.25077107259379,1967
Sudan,0.237411935045291,1968
Sudan,0.310545184002263,1969
Sudan,0.349795296852885,1970
Sudan,0.34843632176144707,1971
Sudan,0.36491542180021896,1972
Sudan,0.35702594772562707,1973
Sudan,0.36239925605451895,1974
Sudan,0.261780729370585,1975
Sudan,0.22447319302603,1976
Sudan,0.220178108245013,1977
Sudan,0.19245624792661603,1978
Sudan,0.19323828475403,1979
Sudan,0.196013969668436,1980
Sudan,0.18404336902890803,1981
Sudan,0.186953328423894,1982
Sudan,0.18455547097663197,1983
Sudan,0.160268905436211,1984
Sudan,0.180726729559944,1985
Sudan,0.183360631436094,1986
Sudan,0.140880448263423,1987
Sudan,0.19864412508017,1988
Sudan,0.150011346611729,1989
Sudan,0.215714302676878,1990
Sudan,0.202816252866375,1991
Sudan,0.173492021484694,1992
Sudan,0.102704393037423,1993
Sudan,0.15204609821168802,1994
Sudan,0.152666264407447,1995
Sudan,0.13746551194968498,1996
Sudan,0.169602368250794,1997
Sudan,0.14291034853417,1998
Sudan,0.15067088447631602,1999
Sudan,0.159133713745191,2000
Sudan,0.178055692848892,2001
Sudan,0.22059860802921696,2002
Sudan,0.23959040472986295,2003
Sudan,0.29215000953396697,2004
Sudan,0.26709064033591895,2005
Sudan,0.278837921919955,2006
Sudan,0.30888397658094,2007
Sudan,0.31894084572410697,2008
Sudan,0.34343068151952305,2009
Sudan,0.341750838615107,2010
Sudan,0.349548724216747,2011
Thailand,0.13558589866445403,1960
Thailand,0.146943963848339,1961
Thailand,0.17312969272725698,1962
Thailand,0.185876631204487,1963
Thailand,0.242239551065997,1964
Thailand,0.23415112649742495,1965
Thailand,0.28909594552115897,1966
Thailand,0.360202673298104,1967
Thailand,0.49148481019989504,1968
Thailand,0.406445894711845,1969
Thailand,0.416856902526599,1970
Thailand,0.5069964710848239,1971
Thailand,0.5590339859462901,1972
Thailand,0.6088694603498879,1973
Thailand,0.587650870262995,1974
Thailand,0.576534274727215,1975
Thailand,0.6633027899746391,1976
Thailand,0.7240540555570429,1977
Thailand,0.772013732468799,1978
Thailand,0.791514277138974,1979
Thailand,0.846998833499612,1980
Thailand,0.787158397062087,1981
Thailand,0.7694912537038779,1982
Thailand,0.845959175982451,1983
Thailand,0.8995750902281671,1984
Thailand,0.9352559193756792,1985
Thailand,0.937734260140153,1986
Thailand,1.05493455543672,1987
Thailand,1.2197174692534498,1988
Thailand,1.41350812862012,1989
Thailand,1.69368319262397,1990
Thailand,1.83894763727211,1991
Thailand,1.99419434103371,1992
Thailand,2.2448679610682203,1993
Thailand,2.47723153100057,1994
Thailand,2.8276805476399796,1995
Thailand,3.1223935354249304,1996
Thailand,3.18931516932621,1997
Thailand,2.79286252656162,1998
Thailand,2.94980278570884,1999
Thailand,3.00439423197259,2000
Thailand,3.1874449165747003,2001
Thailand,3.3674230727511,2002
Thailand,3.58235026432931,2003
Thailand,3.85821342750582,2004
Thailand,3.88936886634519,2005
Thailand,3.9921984584814103,2006
Thailand,3.99468714359492,2007
Thailand,3.98405966720517,2008
Thailand,4.19851191460529,2009
Thailand,4.47042614871008,2010
Thailand,4.53449173353441,2011
